Dates,ACB,FPT,HPG
20201008,12911.304,32199.118,16011.396
20201009,13078.261,32010.082,16239.316
20201012,12966.957,32073.094,16096.866
20201013,13022.609,31947.07,15954.416
20201014,13356.522,32136.106,16153.846
20201015,13634.783,32262.13,16552.707
20201016,13746.087,33522.369,16581.197
20201019,14080,33585.381,16467.236
20201020,14080,33522.369,16723.647
20201021,14024.348,33270.321,16581.197
20201022,14246.957,34026.465,16866.097
20201023,14246.957,33963.453,17606.838
20201026,13801.739,33270.321,17549.858
20201027,13579.13,32829.238,17891.738
20201028,13245.217,31947.07,17321.937
20201029,13300.87,32073.094,17435.897
20201030,13412.174,32451.166,17407.407
20201102,13634.783,32577.19,17435.897
20201103,13913.043,33270.321,17492.877
20201104,14191.304,33396.345,17464.387
20201105,13857.391,32766.226,17236.467
20201106,13968.696,33018.273,17321.937
20201109,14135.652,33648.393,17948.718
20201110,14080,33396.345,17834.758
20201111,14135.652,33396.345,17834.758
20201112,14692.174,33711.405,17920.228
20201113,14747.826,33900.441,18205.128
20201116,14580.87,33585.381,18376.068
20201117,15137.391,34026.465,19002.849
20201118,15137.391,34026.465,19715.1
20201119,15137.391,34719.597,20056.98
20201120,15193.043,34782.609,20341.88
20201123,15193.043,35223.693,21367.521
20201124,15193.043,35034.657,21367.521
20201125,15193.043,34782.609,20284.9
20201126,15248.696,35097.669,20000
20201127,15137.391,35412.728,20655.271
20201130,15137.391,34908.633,20227.92
20201201,15193.043,34782.609,20284.9
20201202,15193.043,35034.657,20113.96
20201203,15193.043,35034.657,20997.151
20201204,15193.043,35097.669,21054.131
20201207,15193.043,35097.669,21766.382
20201208,15193.043,35412.728,21880.342
20201209,15888.696,36231.884,21937.322
20201210,15554.783,35601.764,21424.501
20201211,15693.913,35916.824,22108.262
20201214,15693.913,36042.848,22364.672
20201215,15582.609,35727.788,21994.302
20201216,15721.739,35979.836,22108.262
20201217,15749.565,35601.764,21452.991
20201218,15805.217,35853.812,21994.302
20201221,16111.304,36231.884,21965.812
20201222,16000,36609.956,22421.652
20201223,15638.261,36231.884,22792.023
20201224,15193.043,35916.824,22763.533
20201225,15554.783,36294.896,23219.373
20201228,15471.304,36483.932,23675.214
20201229,15415.652,36925.016,23703.704
20201230,15471.304,36609.956,23304.843
20201231,15638.261,37240.076,23618.234
20210104,15944.348,37933.207,24102.564
20210105,16333.913,39508.507,24131.054
20210106,16640,39319.471,24387.464
20210107,16640,39382.483,24387.464
20210108,16806.957,39886.578,24358.974
20210111,16890.435,40768.746,24529.915
20210112,16751.304,41461.878,25584.046
20210113,16612.174,41902.962,25470.085
20210114,16612.174,41839.95,25327.635
20210115,16834.783,41965.974,25356.125
20210118,16667.826,41776.938,25413.105
20210119,15526.957,39067.423,23703.704
20210120,15749.565,39886.578,23760.684
20210121,16111.304,41335.854,25185.185
20210122,15944.348,42155.009,24871.795
20210125,15638.261,42218.021,24900.285
20210126,15471.304,41587.902,24102.564
20210127,15304.348,39697.543,22962.963
20210128,14246.957,36925.016,21367.521
20210129,14914.783,39508.507,22307.692
20210201,14831.304,40012.602,21851.852
20210202,15220.87,41587.902,23076.923
20210203,15638.261,44108.381,23931.624
20210204,15693.913,45683.68,23817.664
20210205,15860.87,45935.728,24216.524
20210208,15304.348,44927.536,23304.843
20210209,15888.696,47006.931,23817.664
20210217,16361.739,49086.326,24757.835
20210218,16222.609,49275.362,24985.755
20210219,17307.826,48267.171,24757.835
20210222,17586.087,48393.195,24729.345
20210223,17641.739,47574.039,24672.365
20210224,17363.478,47511.027,24843.305
20210225,18031.304,48015.123,25156.695
20210226,18393.043,48015.123,25982.906
20210301,18504.348,49086.326,26324.786
20210302,18365.217,49086.326,26609.687
20210303,18504.348,48960.302,26666.667
20210304,18031.304,47826.087,26153.846
20210305,18059.13,47826.087,26210.826
20210308,17697.391,47763.075,26381.766
20210309,17836.522,47258.979,26125.356
20210310,18226.087,48078.135,25982.906
20210311,18365.217,48330.183,26438.746
20210312,18337.391,48204.159,26467.236
20210315,18643.478,48204.159,26495.726
20210316,18615.652,51039.698,26267.806
20210317,18643.478,50913.674,26381.766
20210318,18893.913,51039.698,26552.707
20210319,18810.435,50283.554,26866.097
20210322,18587.826,49590.422,26638.177
20210323,18365.217,49653.434,26552.707
20210324,18059.13,48519.219,25897.436
20210325,17836.522,48267.171,25641.026
20210326,18059.13,47952.111,26324.786
20210329,18365.217,48897.29,26381.766
20210330,18532.174,48582.231,26467.236
20210331,18532.174,48960.302,26666.667
20210401,18838.261,50220.542,27635.328
20210402,19283.478,50283.554,27948.718
20210405,19339.13,50157.53,28091.168
20210406,19339.13,50031.506,28148.148
20210407,19144.348,50157.53,28176.638
20210408,19144.348,50157.53,28119.658
20210409,19144.348,51732.829,28233.618
20210412,19561.739,51732.829,29173.789
20210413,19255.652,50850.662,28547.009
20210414,19255.652,51039.698,30199.43
20210415,18838.261,50409.578,31054.131
20210416,18420.87,50220.542,31111.111
20210419,18754.783,51354.757,32934.473
20210420,18699.13,52236.925,32592.593
20210422,18086.957,50409.578,31339.031
20210423,18587.826,52299.937,32136.752
20210426,18532.174,51039.698,31396.011
20210427,18921.739,50850.662,32079.772
20210428,18810.435,50913.674,31908.832
20210429,19283.478,50976.686,33105.413
20210504,19172.174,52236.925,34074.074
20210505,19645.217,52236.925,33789.174
20210506,19366.957,52110.901,33846.154
20210507,19589.565,52299.937,34643.875
20210510,20146.087,54064.272,35897.436
20210511,19923.478,53686.2,35327.635
20210512,20118.261,53812.224,35726.496
20210513,20146.087,52930.057,35042.735
20210514,20285.217,53434.152,34985.755
20210517,20340.87,54001.26,35270.655
20210518,20173.913,54820.416,36125.356
20210519,20368.696,57214.871,37663.818
20210520,20813.913,60176.434,37948.718
20210521,20869.565,59105.23,37378.917
20210524,20869.565,58916.194,37264.957
20210525,21147.826,59105.23,38404.558
20210526,21398.261,60050.41,38632.479
20210527,21259.13,59105.23,38062.678
20210528,21648.696,59735.35,38233.618
20210531,23040,61688.721,40538.462
20210601,23429.565,63115.942,42692.308
20210602,24820.87,61956.522,41538.462
20210603,25544.348,61739.13,41769.231
20210604,25210.435,61376.812,41923.077
20210607,23930.435,59927.536,40538.462
20210608,22372.174,58550.725,38461.538
20210609,23624.348,59202.899,38692.308
20210610,23721.739,59347.826,39692.308
20210611,24104.348,60507.246,40846.154
20210614,23721.739,60724.638,41230.769
20210615,24591.304,60289.855,40923.077
20210616,24139.13,60217.391,39846.154
20210617,24278.261,59855.072,39538.462
20210618,24347.826,60724.638,40076.923
20210621,24173.913,62028.986,39384.615
20210622,24800,61884.058,39769.231
20210623,24904.348,61521.739,39538.462
20210624,25182.609,61376.812,38923.077
20210625,25286.957,61739.13,39000
20210628,25530.435,62101.449,40307.692
20210629,25356.522,64202.899,39846.154
20210630,24834.783,63768.116,39615.385
20210701,25008.696,64420.29,40615.385
20210702,25113.043,66594.203,40230.769
20210705,26400,67173.913,39384.615
20210706,25043.478,63043.478,36923.077
20210707,25426.087,65579.71,38384.615
20210708,25182.609,65072.464,37692.308
20210709,24486.957,65000,36384.615
20210712,22782.609,62391.304,34576.923
20210713,22886.957,63043.478,35000
20210714,22086.957,61739.13,34615.385
20210715,22782.609,61884.058,35769.231
20210716,23373.913,62898.551,35961.538
20210719,22365.217,61376.812,34076.923
20210720,23582.609,62898.551,36384.615
20210721,23513.043,62753.623,35961.538
20210722,23721.739,64782.609,36307.692
20210723,22956.522,65579.71,35230.769
20210726,22747.826,67898.551,35076.923
20210727,23060.87,67536.232,35538.462
20210728,23060.87,66666.667,35923.077
20210729,23756.522,67681.159,36230.769
20210730,25147.826,68115.942,36384.615
20210802,24730.435,69275.362,36346.154
20210803,24904.348,69420.29,36346.154
20210804,24695.652,69275.362,36538.462
20210805,25043.478,70000,37538.462
20210806,24730.435,70000,37230.769
20210809,25391.304,70652.174,38230.769
20210810,25391.304,70869.565,38000
20210811,25043.478,69637.681,37653.846
20210812,24556.522,67971.014,37230.769
20210813,24591.304,68840.58,37423.077
20210816,24834.783,68550.725,38038.462
20210817,24765.217,67971.014,38769.231
20210818,24730.435,68115.942,38769.231
20210819,24556.522,68478.261,39153.846
20210820,23373.913,67246.377,37692.308
20210823,22260.87,65942.029,36538.462
20210824,22469.565,66594.203,36730.769
20210825,22573.913,66594.203,37230.769
20210826,22226.087,66231.884,36692.308
20210827,22086.957,66666.667,36615.385
20210830,22365.217,66811.594,37461.538
20210831,22260.87,66956.522,37923.077
20210901,22260.87,66956.522,37846.154
20210906,22295.652,68768.116,39384.615
20210907,22608.696,67753.623,39000
20210908,22365.217,67463.768,39461.538
20210909,22573.913,67536.232,39923.077
20210910,22469.565,67753.623,39615.385
20210913,22191.304,67391.304,39076.923
20210914,21913.043,67971.014,38692.308
20210915,21704.348,68188.406,39692.308
20210916,21773.913,68623.188,39461.538
20210917,21982.609,69347.826,39846.154
20210920,22330.435,68405.797,39461.538
20210921,22121.739,67753.623,39076.923
20210922,21982.609,67536.232,39153.846
20210923,21982.609,67463.768,39230.769
20210924,22260.87,67173.913,39076.923
20210927,21913.043,66739.13,39076.923
20210928,21982.609,67391.304,40461.538
20210929,21808.696,67536.232,41000
20210930,21947.826,67391.304,40692.308
20211001,21913.043,67318.841,41076.923
20211004,21565.217,68550.725,42692.308
20211005,21913.043,68405.797,42538.462
20211006,21808.696,68405.797,43153.846
20211007,21704.348,68333.333,42769.231
20211008,21878.261,71666.667,42846.154
20211011,22678.261,71884.058,44000
20211012,22678.261,71739.13,43846.154
20211013,22678.261,72028.986,43692.308
20211014,22469.565,71594.203,43692.308
20211015,22400,71666.667,44076.923
20211018,22260.87,71739.13,44538.462
20211019,22469.565,71449.275,44000
20211020,22469.565,70724.638,43769.231
20211021,22086.957,70072.464,44000
20211022,21982.609,69710.145,43615.385
20211025,21739.13,68768.116,42384.615
20211026,21634.783,70217.391,43307.692
20211027,21843.478,71159.42,44538.462
20211028,22156.522,71014.493,44615.385
20211029,22956.522,70217.391,43923.077
20211101,22747.826,69420.29,42846.154
20211102,23060.87,69637.681,42692.308
20211103,23547.826,69637.681,42769.231
20211104,23304.348,69565.217,43307.692
20211105,23304.348,70724.638,43538.462
20211108,23234.783,70579.71,43692.308
20211109,23269.565,69855.072,43461.538
20211110,23234.783,70289.855,42538.462
20211111,22956.522,69565.217,41538.462
20211112,23200,71014.493,42000
20211115,23234.783,70507.246,41230.769
20211116,23060.87,71231.884,40000
20211117,23165.217,71231.884,39538.462
20211118,22608.696,69927.536,38423.077
20211119,23269.565,69057.971,36923.077
20211122,23756.522,68840.58,37423.077
20211123,23617.391,70000,38115.385
20211124,24591.304,70942.029,37423.077
20211125,24452.174,72463.768,37884.615
20211126,24069.565,71666.667,37730.769
20211129,23756.522,71086.957,37230.769
20211130,23165.217,70362.319,37653.846
20211201,23304.348,71159.42,37692.308
20211202,23095.652,70434.783,37384.615
20211203,22643.478,69202.899,36692.308
20211206,22469.565,68478.261,35192.308
20211207,22921.739,69565.217,36615.385
20211208,23026.087,69275.362,36307.692
20211209,23165.217,70289.855,36230.769
